E_HE1,E_LI1,E_C1,E_C2,E_C3,E_N2,E_N3,E_O1,E_O2,E_NE1,E_NE2,E_NA1,E_MG1,E_MG2,E_AL1,E_AL2,E_AL3,E_SI1,E_SI2,E_SI3,E_SI4,E_S1,E_S2,E_S3,E_CA1,E_CA2,E_SC1,E_SC2,E_TI1,E_TI2,E_V1,E_V2,E_CR1,E_CR2,E_MN1,E_FE1,E_FE2,E_FE3,E_CO1,E_NI1,E_CU1,E_ZN1,E_SR1,E_Y1,E_Y2,E_ZR1,E_ZR2,E_NB1,E_MO1,E_RU1,E_BA2,E_LA2,E_CE2,E_PR2,E_ND2,E_SM2,E_EU2,E_GD2,E_DY2,E_VEIL,E_FEH
,0.16,0.05,,,,,0.02,,,,0.14,0.13,,0.12,,,0.09,0.02,,,,,,0.08,0.06,0.06,0.14,0.11,0.12,0.1,,0.09,0.05,0.1,0.09,0.16,,0.07,0.1,0.09,0.06,,,0.14,0.06,0.02,,0.0,,0.07,0.0,0.03,,0.14,,0.04,,,,0.07860952
,0.3,0.09,,,,,0.03,,,,0.11,0.09,,0.03,,,0.08,0.03,,,0.09,,,0.12,0.04,0.16,0.11,0.11,0.09,0.13,,0.11,0.06,0.17,0.08,0.1,,0.1,0.11,0.11,0.05,,,0.1,,0.09,,,,0.12,0.0,,,0.21,,0.04,,,,0.06496107
,0.3,0.02,,,,,0.1,,,,0.07,0.05,,0.04,,,0.05,0.04,,,,,,0.1,0.07,0.04,0.14,0.09,0.1,0.08,,0.09,0.12,0.11,0.06,0.06,,0.06,0.08,0.07,0.12,,,0.09,0.05,0.06,,0.0,,0.09,0.15,0.01,,0.11,,0.04,,,,0.07872594
,0.54572725,0.08,,,,,0.04,,,,0.1,0.06,,0.04,,,0.08,0.04,,,0.09,,,0.11,0.07,0.17,0.1,0.12,0.1,0.12,,0.11,0.06,0.11,0.08,0.09,,0.11,0.11,0.09,0.07,,,0.1,,0.09,,,,0.13,0.0,,,0.18,,0.12,,,,0.06528139
,0.05,0.06,,,,,0.01,,,,0.08,0.1,,0.04,,,0.08,0.06,,,0.09,,,0.07,0.06,,0.09,0.11,0.08,0.19,,0.1,0.1,0.05,0.07,0.08,,0.09,0.09,0.1,0.03,,,0.1,,,,,,0.11,0.0,,,0.24,,0.04,,,,0.064497195
,0.05,0.07,,,,,0.01,,,,0.13,0.06,,0.03,,,0.08,0.03,,,,,,0.14,0.06,,0.1,0.12,0.08,0.16,,0.12,0.05,0.17,0.08,0.09,,0.1,0.1,0.1,0.07,,,0.09,,0.01,,,,0.14,0.0,,,0.25,,0.04,,,,0.06563473
,0.3,0.05,,,,,0.09,,,,0.04,0.06,,0.04,,,0.06,0.09,,,,,,0.08,0.06,0.05,0.11,0.1,0.09,0.09,,0.08,0.12,0.09,0.06,0.08,,0.06,0.09,0.06,0.07,,,0.09,0.07,0.04,,0.0,,0.03,0.09,0.02,,0.09,,0.02,,,,0.07754877
,,0.05,,,,,0.09,,,,0.14,0.07,,0.04,,,0.08,0.04,,,0.09,,,0.11,0.05,,0.13,0.11,0.08,0.13,,0.11,0.09,0.11,0.07,0.09,,0.1,0.09,0.08,0.08,,,0.1,,0.1,,,,0.1,0.0,,,0.15,,,,,,0.064061016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
,,0.1,,,,,,,,,0.23,0.0,,0.0,,,0.07,0.4,,,,,,0.0,,0.11,0.0,0.0,0.18,0.0,,0.0,0.32,,0.0,0.0,,0.0,0.0,0.38,,,,0.16,0.17,0.39,,0.0,,0.16,0.0,0.0,,0.16,,0.0,,,,0.0
,0.72284186,0.11,,,,,,,,,0.01,0.12,,0.02,,,0.12,0.16,,,,,,0.02,,0.06,0.0,0.12,0.2,0.01,,0.1,0.26,0.1,0.01,0.17,,0.01,0.0,0.22,0.17,,,0.0,0.05,0.11,,0.0,,0.05,0.0,0.15,,0.16,,0.0,,,,0.014769114
,,,,,,,0.12,,,,0.0,0.0,,0.0,,,0.06,,,,,,,0.0,,0.0,0.0,0.0,0.2,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.18,0.26,,,0.0,0.26,0.03,,0.0,,0.18,0.0,0.0,,0.31,,0.0,,,,0.0
,0.3,0.01,,,,,0.03,,,,0.01,0.03,,0.02,,,0.11,0.08,,,,,,0.01,0.07,0.02,0.0,0.02,0.1,0.06,,0.01,0.0,0.07,0.01,0.03,,0.06,0.02,0.07,0.13,,,0.03,0.04,0.06,,0.0,,0.06,0.0,0.03,,0.06,,0.0,,,,0.023967652
,0.275111,,,,,,,,,,0.24,0.39,,,,,,,,,,,,0.16,,,0.18,0.38,0.29,,,0.17,,,,,,0.21,0.5,,,,,,,,,,,,,,,,,,,,,0.0
,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,0.31,,,,,,,,,,,,,,,,,,,,,,,,0.0
,,0.02,,,,,0.08,,,,0.02,0.09,,0.03,,,0.03,0.25,,,,,,0.01,0.14,0.07,0.04,0.06,0.04,0.14,,0.02,0.0,0.07,0.03,0.02,,0.06,0.02,0.1,0.05,,,0.01,,,,,,0.06,0.0,,,0.14,,0.06,,,,0.012389072
,0.3,0.06,,,,,0.01,,,,0.04,0.04,,0.01,,,0.1,0.07,,,,,,0.01,0.26,0.03,0.0,0.07,0.09,0.05,,0.0,0.0,0.08,0.0,0.06,,0.01,0.02,0.11,0.16,,,0.01,0.06,0.05,,0.0,,0.08,0.0,0.06,,0.12,,0.0,,,,0.01982877
,,,,,,,,,,,0.31,0.04,,0.0,,,0.15,0.11,,,,,,0.0,,0.0,0.14,0.0,0.26,0.0,,0.0,0.21,0.15,0.0,0.0,,0.0,0.0,0.01,0.39,,,0.0,0.0,0.09,,,,0.07,0.17,0.58,,0.1,,0.0,,,,0.07736856
,0.3,0.09,,,,,,,,,0.03,0.39,,,,,0.06,,,,,,,0.23,,,0.17,0.44,0.14,0.28,,0.6,0.16,0.31,,,,0.2,0.3,0.26,0.21,,,0.16,,,,,,0.28,,,,,,,,,,0.0
,,0.07,,,,,0.13,,,,0.21,0.12,,,,,0.15,,,,,,,0.66,,,0.3,0.86,0.47,0.06,,0.52,0.4,0.38,,,,0.5,0.5,0.2,,,,0.64,,,,,,0.17,,,,0.13,,,,,,0.0
,0.5510157,,,,,,0.11,,,,0.18,0.06,,0.12,,,0.15,,,,,,,0.36,,0.54,0.42,0.29,0.26,0.25,,0.28,0.33,0.12,0.11,0.17,,0.21,0.41,0.06,0.14,,,0.0,0.0,0.05,,,,0.14,0.11,0.0,,0.37,,0.12,,,,0.0
,,0.08,,,,,0.16,,,,0.12,0.23,,0.08,,,0.01,0.05,,,0.0,,,0.28,0.12,0.14,0.07,0.26,0.18,0.28,,0.14,0.0,0.18,0.0,0.0,,0.05,0.05,0.21,0.18,,,0.0,,0.17,,,,0.0,0.0,,,0.53,,,,,,0.15893705
,,0.07,,,,,,,,,,0.12,,,,,0.19,0.07,,,,,,0.72,0.1,,0.35,0.72,0.29,0.48,,0.78,0.34,0.28,,,,0.21,0.57,0.2,,,,0.23,,,,,,0.18,,,,0.34,,,,,,0.0
,0.4851183,,,,,,,,,,0.25,0.34,,0.27,,,0.26,0.12,,,0.08,,,0.45,,0.12,0.24,0.47,0.52,0.48,,0.42,0.32,0.21,0.26,0.3,,0.34,0.31,0.34,0.29,,,0.28,,0.29,,,,0.08,,0.2,,0.37,,,,,,0.0
,,0.07,,,,,0.06,,,,0.53,0.08,,,,,0.38,,,,,,,0.71,0.07,,0.37,0.65,0.45,0.42,,0.64,0.48,0.33,,,,0.57,0.58,0.15,0.09,,,0.53,,,,,,0.16,,,,0.38,,0.05,,,,0.0
,0.1,0.36,,,,,,,,,0.01,0.05,,0.06,,,0.09,0.16,,,,,,0.03,,0.06,0.0,0.09,0.12,0.06,,0.01,0.0,0.17,0.03,0.07,,0.03,0.02,0.09,0.24,,,0.02,0.02,0.09,,0.0,,0.06,0.0,0.01,,0.17,,0.0,,,,0.01701927
,0.3,0.07,,,,,,,,,0.11,0.02,,0.01,,,0.12,0.19,,,0.0,,,0.07,0.18,0.01,0.0,0.06,0.13,0.06,,0.01,0.0,0.29,0.0,0.04,,0.01,0.04,0.06,0.28,,,0.06,0.11,0.08,,0.0,,0.08,0.0,0.11,,0.19,,0.0,,,,0.052711926
,,,,,,,0.17,,,,0.05,0.06,,0.03,,,0.19,0.02,,,0.0,,,0.03,,0.17,0.0,0.16,0.11,0.05,,0.04,0.27,0.3,0.0,0.0,,0.05,0.1,0.54,0.03,,,0.14,0.0,0.64,,,,,0.04,,,0.12,,0.0,,,,0.005055624
,0.1,,,,,,,,,,0.06,0.02,,0.06,,,0.13,0.32,,,,,,0.01,,0.04,0.0,0.06,0.19,0.06,,0.09,0.0,0.1,0.0,0.0,,0.01,0.03,0.11,0.27,,,0.22,0.01,0.06,,0.0,,0.01,0.0,0.2,,0.14,,0.0,,,,0.021204848
