E_NA1,E_MG1,E_AL1,E_CA1,E_SC1,E_SC2,E_TI1,E_V1,E_CR1,E_CR2,E_FE1,E_FE2,E_CO1,E_NI1,E_Y2,E_FEH
0.09,0.12,0.07,0.18,0.09,0.12,0.19,0.19,0.16,0.1,0.14,0.14,0.18,0.17,0.16,0.06400517
0.05,0.1,0.09,0.17,0.09,0.17,0.2,0.15,0.29,0.26,0.14,0.17,0.17,0.25,0.17,0.06702111
0.11,0.09,0.17,0.15,0.09,0.1,0.16,0.12,0.15,0.09,0.13,0.12,0.16,0.14,0.15,0.06460966
0.09,0.16,0.09,0.18,0.01,0.11,0.2,0.16,0.13,0.21,0.15,0.15,0.11,0.19,0.15,0.06248749
0.05,0.1,0.14,0.18,0.05,0.08,0.15,0.12,0.12,0.37,0.1,0.08,0.16,0.18,0.12,0.063826196
0.11,0.07,0.12,0.14,0.09,0.22,0.14,0.16,0.15,0.09,0.11,0.13,0.15,0.14,0.17,0.06353812
0.06,0.1,0.09,0.22,0.09,0.16,0.15,0.13,0.12,0.09,0.13,0.15,0.12,0.2,0.11,0.06502656
0.19,0.13,0.19,0.18,0.06,0.11,0.17,0.16,0.16,0.2,0.16,0.16,0.14,0.19,0.17,0.06517409
0.09,0.06,0.1,0.16,0.04,0.08,0.15,0.16,0.15,0.1,0.12,0.12,0.15,0.18,0.12,0.06366667
0.08,0.21,0.12,0.16,0.06,0.13,0.15,0.13,0.19,0.14,0.12,0.11,0.13,0.17,0.16,0.06436665
0.1,0.08,0.13,0.12,0.09,0.08,0.14,0.17,0.14,0.12,0.12,0.13,0.13,0.14,0.1,0.064960085
0.06,0.16,0.17,0.14,0.07,0.12,0.15,0.17,0.14,0.35,0.14,0.13,0.18,0.25,0.15,0.06401116
0.05,0.14,0.11,0.14,,0.13,0.16,0.13,0.16,0.14,0.12,0.1,0.13,0.24,0.16,0.06457485
0.08,0.11,0.12,0.19,0.08,0.24,0.2,0.19,0.23,0.39,0.15,0.12,0.1,0.25,0.16,0.13155223
0.05,0.18,0.2,0.14,0.03,0.26,0.17,0.15,0.15,0.28,0.13,0.12,0.1,0.16,0.12,0.063766465
0.06,0.13,0.09,0.12,0.06,0.1,0.16,0.16,0.13,0.09,0.13,0.13,0.16,0.24,0.13,0.13406347
0.13,0.12,0.14,0.12,0.33,0.13,0.16,0.17,0.2,0.25,0.14,0.17,0.21,0.22,0.16,0.061987065
0.16,0.12,0.08,0.18,0.03,0.21,0.2,0.19,0.21,0.21,0.19,0.19,0.39,0.2,0.15,0.06555861
0.06,0.15,0.06,0.15,0.07,0.12,0.16,0.18,0.14,0.14,0.13,0.11,0.12,0.19,0.17,0.10554199
0.07,0.12,0.07,0.12,0.07,0.09,0.13,0.12,0.13,0.11,0.12,0.14,0.11,0.21,0.16,0.06423027
,,,,,,,,,,,,,,,
0.1,0.07,0.15,0.48,0.55,0.34,0.23,0.2,0.14,0.32,0.23,0.29,0.26,0.34,0.23,0.16195032
0.03,0.05,0.08,0.18,0.03,0.07,0.16,0.13,0.11,0.12,0.1,0.12,0.11,0.14,0.09,0.06543429
0.27,0.09,0.09,0.13,0.03,0.23,0.26,0.19,0.25,0.27,0.16,0.15,0.13,0.2,0.28,0.06583689999999999
0.04,0.07,0.13,0.14,0.06,0.09,0.13,0.12,0.12,0.12,0.12,0.12,0.14,0.22,0.12,0.06404178599999999
0.26,0.05,0.06,0.12,0.08,0.1,0.13,0.11,0.13,0.24,0.1,0.11,0.08,0.13,0.11,0.06492483
0.19,0.28,0.22,0.23,0.07,0.3,0.3,0.21,0.3,0.24,0.25,0.25,0.27,0.3,0.24,0.066789865
0.27,0.07,0.08,0.15,0.05,0.1,0.16,0.12,0.13,0.14,0.11,0.11,0.15,0.19,0.17,0.06418503
0.29,0.28,0.22,0.28,0.01,0.2,0.23,0.22,0.28,0.21,0.21,0.18,0.22,0.31,0.31,0.06484986
0.13,0.08,0.11,0.17,0.1,0.14,0.17,0.13,0.15,0.31,0.12,0.14,0.13,0.2,0.17,0.0635841
0.17,0.12,0.28,0.17,0.41,0.09,0.22,0.25,0.25,0.12,0.18,0.26,0.21,0.23,0.15,0.063663796
0.04,0.06,0.07,0.14,0.02,0.09,0.12,0.12,0.11,0.22,0.09,0.08,0.12,0.09,0.1,0.06482266
0.06,0.07,0.05,0.14,0.15,0.08,0.13,0.17,0.13,0.5,0.11,0.1,0.17,0.2,0.16,0.06396324
0.05,0.05,0.06,0.15,0.04,0.08,0.12,0.11,0.11,0.09,0.1,0.11,0.1,0.14,0.11,0.06499857
0.04,0.08,0.05,0.13,0.06,0.07,0.13,0.14,0.15,0.33,0.11,0.1,0.17,0.17,0.14,0.06498741
0.49,0.04,0.09,0.29,0.56,0.25,0.27,0.21,0.22,0.1,0.21,0.25,0.31,0.27,0.25,0.15423119
0.1,0.1,0.2,0.18,0.11,0.14,0.18,0.21,0.19,0.26,0.15,0.15,0.21,0.24,0.25,0.06485669
0.1,0.09,0.13,0.21,0.08,0.31,0.15,0.15,0.13,0.38,0.12,0.12,0.14,0.2,0.13,0.06568244
0.08,0.05,0.13,0.13,0.12,0.08,0.15,0.16,0.14,0.14,0.1,0.11,0.14,0.14,0.1,0.065649785
0.27,0.08,0.05,0.2,0.09,0.21,0.19,0.11,0.12,0.2,0.1,0.15,0.13,0.19,0.14,0.13097303
0.06,0.19,0.07,0.17,0.1,0.1,0.14,0.12,0.14,0.29,0.11,0.13,0.1,0.15,0.13,0.06516333
0.09,0.12,0.26,0.13,0.08,0.08,0.16,0.18,0.13,0.19,0.11,0.11,0.1,0.14,0.14,0.06353532
0.04,0.06,0.11,0.14,0.06,0.1,0.15,0.15,0.12,0.25,0.12,0.11,0.14,0.16,0.12,0.06501426
0.05,0.09,0.18,0.14,0.09,0.08,0.15,0.17,0.13,0.1,0.12,0.14,0.16,0.14,0.11,0.06426296
0.05,0.04,0.07,0.12,0.05,0.09,0.13,0.17,0.12,0.07,0.09,0.1,0.1,0.12,0.12,0.06517732
0.1,0.07,0.07,0.15,0.04,0.12,0.14,0.2,0.11,0.13,0.11,0.11,0.13,0.2,0.17,0.064132966
0.09,0.06,0.2,0.17,0.03,0.17,0.17,0.16,0.13,0.12,0.12,0.11,0.12,0.16,0.13,0.064008094
0.21,0.08,0.02,0.19,0.09,0.2,0.16,0.12,0.11,0.17,0.1,0.16,0.14,0.2,0.14,0.06331891
0.08,0.11,0.04,0.16,0.2,0.15,0.16,0.19,0.2,0.17,0.13,0.12,0.16,0.18,0.18,0.063497044
0.19,0.08,0.02,0.17,0.1,0.18,0.21,0.13,0.13,0.2,0.07,0.12,0.1,0.2,0.14,0.06521316
0.33,0.16,0.21,0.25,0.02,0.24,0.3,0.26,0.2,0.59,0.34,0.32,0.34,0.34,0.34,
0.34,0.21,0.21,0.64,,0.24,0.33,0.44,0.43,0.66,0.36,0.35,0.37,0.29,0.27,
0.05,0.09,0.1,0.14,0.06,0.17,0.13,0.15,0.11,0.37,0.09,0.09,0.25,0.18,0.09,0.06428351
0.13,0.2,0.17,0.2,0.07,0.11,0.22,0.17,0.2,0.11,0.15,0.14,0.15,0.18,0.17,0.13202809999999998
0.04,0.06,0.07,0.16,0.08,0.11,0.16,0.13,0.13,0.18,0.11,0.13,0.1,0.16,0.11,0.06333318
0.05,0.22,0.27,0.14,0.07,0.17,0.14,0.14,0.14,0.09,0.13,0.14,0.16,0.18,0.16,0.060720995
0.07,0.15,0.17,0.19,0.06,0.34,0.24,0.14,0.21,0.27,0.13,0.15,0.12,0.24,0.29,0.06580553
0.09,0.1,0.07,0.14,0.06,0.11,0.14,0.15,0.16,0.12,0.14,0.16,0.12,0.14,0.14,0.063355155
0.06,0.08,0.2,0.14,0.19,0.1,0.14,0.12,0.12,0.16,0.11,0.09,0.14,0.12,0.15,0.06469869
0.11,0.09,0.11,0.1,0.07,0.14,0.18,0.16,0.13,0.17,0.12,0.13,0.12,0.17,0.15,0.06481148
